"field_name","field_description"
"\"Deprecated\",\"Indicates that this model is historical and no longer used in the ECL.\""
"\"Deprecated\",\"Indicates that this model is historical and no longer used in the lab.\""
"\"DepthMargin\",\"Z-axis distance from the bottom of the plate to the bottom of the first well.\""
"\"DepthMargin\",\"Z-axis distance from the bottom of the vessel to the bottom of the first well.\""
"\"DesiccantCapacity\",\"The weight of the desiccant the desiccator is cable of holding.\""
"\"DesiccantReplacementFrequency\",\"The frequency with which the desiccant should be replaced.\""
"\"Desiccant\",\"The model of drying agent used to keep the contents of the desiccator dry.\""
"\"Desiccated\",\"Indicates if this storage condition is meant to store moisture-sensitive items in a dry atmosphere requiring a sealable secondary enclosure.\""
"\"DestinationContainerIncluded\",\"Indicates that this type of filter includes a receiving container as part of a unit.\""
"\"DestinationContainerModel\",\"The model of container connected to this type of filter used to collect the liquid during filtration.\""
"\"DetectionLabel\",\"Indicates whether this molecule (e.g. Alexa Fluor 488) can be attached to another molecule and act as a tag that can indicate the presence and amount of the other molecule.\""
"\"Detection\",\"The type of foam detection methods for which this column is suitable to be used with.\""
"\"DetectorDimensions\",\"Dimensions of the active detector's surface for this model of instrument.\""
"\"DetectorLampType\",\"A list of sources of illumination available for use in detection.\""
"\"DetectorLampType\",\"A list of sources of illumination available to shine through the flow path, enabling the measurement of absorption values from the separate sample.\""
"\"DetectorModuleGapDistance\",\"The distance between the detector modules on the detector surface.  This will area will appear as a gap on the diffraction pattern.\""
"\"DetectorPixelSize\",\"The size of each pixel on the detector.\""
"\"DetectorType\",\"Type of sensor used to obtain signals from test samples.\""
"\"Detector\",\"The type of detector available to measure the intensity of scattered light from the sample.\""
"\"Detectors\",\"A list of detectors that can be installed on the instrument.\""
"\"Detectors\",\"A list of devices that can monitor a variety of signals during the experiment.\""
"\"Detectors\",\"A list of the available chromatographic detectors on the instrument that measure properties of the separated sample as it moves through the flow path.\""
"\"Detectors\",\"A list of the available chromatographic detectors on the instrument.\""
"\"Detectors\",\"A list of the available detectors on the Ion Chromatography instrument.\""
"\"Detectors\",\"A list of the available detectors on the instrument.\""
"\"Detectors\",\"A list of the measurement modules on the instrument; for example, PhotoDiodeArray will measure the absorption of light at varying wavelengths.\""
"\"Detectors\",\"A list of the measurement modules on this instrument.\""
"\"Detectors\",\"The fluorescence channels available, based on the installed optic module models installed in this modelInstrument in the form: {channel name, excitation wavelength, scatter angles, filters, emission wavelength, emission bandwidth, Fluorophores}.\""
"\"Detergent\",\"Detergent used to wash labware compatible with this instrument.\""
"\"Dewar\",\"The dewar used to flash freeze the sample during the freeze step of freeze-pump-thaw.\""
"\"Diameter3D\",\"A list of the external diameter of the tips over the entire height of the tips.\""
"\"Diameter\",\"The diameter of the cartridge.\""
"\"Diameter\",\"The diameter of the filled dialysis membrane tube.\""
"\"Diameter\",\"The diameter of the filter membrane.\""
"\"Diameter\",\"The diameter of the septum.\""
"\"Diameter\",\"The diameter of the sparge filter.\""
"\"Diameter\",\"The internal diameter of the cartridge body.\""
"\"Diameter\",\"The outside diameter of the column.\""
"\"DichroicFilterWavelengths\",\"For each member of ImagingChannels, the cutoff wavelength of the dichroic filter that allows longer wavelengths to be transmitted and reflects shorter wavelengths.\""
"\"DiffractionDetector\",\"The type of detector available to measure the diffraction pattern.\""
"\"Dimensions\",\"The external dimensions of this model of container.\""
"\"Dimensions\",\"The external dimensions of this model of filter.\""
"\"Dimensions\",\"The external dimensions of this model of instrument.\""
"\"Dimensions\",\"The external dimensions of this model of item, in its packaged form if it has one.\""
"\"DishwasherRacks\",\"The models of dish racks that can be used in this type of dishwasher.\""
"\"Dispensable\",\"Indicates if samples can be dispensed into this container when it is not Covered.\""
"\"DispenseEquilibrationTime\",\"The delay length the pipette waits after dispensing before it is removed from the liquid.\""
"\"DispenseMixRate\",\"The speed at which liquid is aspirated and dispensed in a liquid after a dispense.\""
"\"DispenseRate\",\"The speed at which liquid should be expelled from the pipette tip.\""
"\"DispenseWithdrawalRate\",\"The speed at which the pipette is removed from the liquid after a dispense.\""
"\"DisposableCaps\",\"Indicates if this container uses interchangeable caps that are disposable; i.e. the cap on the container could be changed to another equivalent cap at any time.\""
"\"DissolvedOxygenAccuracy\",\"Indicates the level of uncertainty of dissolved oxygen measurements as described by the instrument manufacturer in its product documentation.\""
"\"DissolvedOxygenResolution\",\"The smallest magnitude between values of dissolved oxygen the instrument is capable of reporting as described by the instrument manufacturer in its product documentation.\""
"\"Dongle\",\"Indicates if an instrument of this model requires a security dongle in the computer to run.\""
"\"DownloadMonomer\",\"StockSolutions used by the synthesis experiment function for this modification to moderate the number of reactive sites on the unmodified solid support. Different defaults can be used for different synthetic strategies (Boc and Fmoc for example).\""
"\"DownloadMonomers\",\"StockSolutions used by the synthesis experiment function for this type of Polymer to moderate the number of reactive sites on the unmodified solid support. Different defaults can be used for different synthetic strategies (Boc and Fmoc for example).\""
"\"DrainDisposal\",\"Indicates if items of this model may be safely disposed down a standard drain.\""
"\"DrainDisposal\",\"Indicates if samples of this model may be safely disposed down a standard drain.\""
"\"DropletGeneratingGroups\",\"List of well indices that are processed for droplet generation in parallel.\""
"\"DropletGeneratorProcessTime\",\"The duration of time taken to complete sample emulsification for all wells in a 96-well assay plate.\""
"\"DropletReaderProcessTime\",\"The duration of time taken to detect fluorescence signals from droplets in all the wells of a 96-well cartridge.\""
"\"DropletTransferResolution\",\"The lowest volume that the acoustic liquid handler can transfer based on the droplet size generated by acoustic ejection.\""
"\"DropletsFromSampleVolume\",\"The number of discrete partitions that are generated per unit volume of sample.\""
"\"Dropper\",\"Indicates if this vessel has a dropper attachment that allows it to only dispense liquid via drop creation.\""
"\"DynamicLightScatteringDetector\",\"The apparatus used for measuring dynamic light scattering intensity in the multimode spectrophotometer.\""
"\"DynamicLightScatteringWavelengths\",\"Indicates the laser wavelengths available on the instrument for use as dynamic light scattering light source.\""
"\"EffectiveLength\",\"The distance between the inlet and the outlet of the filter.\""
"\"ElectrochemicalCurrentAccuracy\",\"Indicates the level of uncertainty of current measurement when performing electrochemical reactions.\""
"\"ElectrochemicalDetectionMode\",\"The mode of operation supported by the electrochemical detector, including DC Amperometric Detection, Pulsed Amperometric Detection, and Integrated Pulsed Amperometric Detection. In DC Amperometric Detection, a constant voltage is applied. In contrast, Pulsed Amperometric Detections first apply a working potential followed by higher or lower potentials that are used for cleaning the electrode. Further, Integrated Amperometric Detection integrates current over a single potential whereas Integrated Pulsed Amperometric Detection integrates current over two or more potentials.\""
